Folder (conf_str or setname),Repository Name
AcornAtom,AcornAtom_MiSTer
AcornElectron,AcornElectron_MiSTer
Adam,ColecoAdam_MiSTer
AliceMC10,AliceMC10_MiSTer
Altair8800,Altair8800_Mister
Amiga,Minimig-AGA_MiSTer
Amstrad PCW,Amstrad-PCW_MiSTer
Amstrad,Amstrad_MiSTer
AO486,ao486_MiSTer
APOGEE,Apogee_MiSTer
Apple-II,Apple-II_MiSTer
AQUARIUS,Aquarius_MISTer
ARCHIE,Archie_MiSTer
Atari5200,Atari800_MiSTer
Atari800,Atari800_MiSTer
AtariST,AtariST_MiSTer
BBCMicro,BBCMicro_MiSTer
BK0011M,BK0011M_MiSTer
C16,C16_MiSTer
C64,C64_MiSTer
Casio_PV-2000,Casio_PV-2000_MiSTer
CoCo2,CoCo2_MiSTer
COCO3,CoCo3_MiSTer
Coleco,TI-99_4A_MiSTer
EDSAC,EDSAC_MiSTer
eg2000,EG2000_MiSTer
Galaksija,Galaksija_MiSTer
Interact,Interact_MiSTer
Jupiter,Jupiter_MiSTer
Laser,Laser310_MiSTer
Lynx48,Lynx48_MiSTer
MACPLUS,MacPlus_MiSTer
MSX,MSX_MiSTer
MultiComp,MultiComp_MiSTer
Ondra_SPO186,OndraSPO186_MiSTer
ORAO,Orao_MiSTer
Oric,Oric_MiSTer
PC8801,PC88_MiSTer
PCXT,PCXT_MiSTer
PET2001,PET2001_MiSTer
PMD85,PMD85_MiSTer
QL,QL_MiSTer
RX78,RX-78_MiSTer
SAMCOUPE,SAM-Coupe_MiSTer
SharpMZ,SharpMZ_MiSTer
Sord M5,SordM5_MiSTer
Spectrum,ZX-Spectrum_MISTer
SPMX,Specialist_MiSTer
SVI328,SVI328_MiSTer
TatungEinstein,TatungEinstein_MiSTer
TI-99_4A,TI-99_4A_MiSTer
TomyTutor,TomyTutor_MiSTer
TRS-80,TRS-80_MiSTer
TSConf,TSConf_MiSTer
UK101,UK101_MiSTer
VECTOR06,Vector-06C_MiSTer
VIC20,VIC20_MiSTer
X68000,X68000_MiSTer
ZX81,ZX81_MiSTer
ZXNext,ZXNext_MISTer
